Running SF45/B LWNX driver.
Product: SF45
Firmware: 1.2.1
Serial: S45-15868
26.16 m 0.3 deg
9.75 m -17.68 deg
10.27 m -35.68 deg
4.7 m -53.68 deg
4.07 m -70.34 deg
10.42 m -80.69 deg
3.62 m -85.19 deg
10.44 m -89.83 deg
3.62 m -88.94 deg
11.04 m -85.34 deg
9.93 m -77.23 deg
4.34 m -62.84 deg
4.88 m -45.29 deg
9.81 m -27.29 deg
15.1 m -9.28 deg
25.99 m 8.7 deg
9.06 m 26.7 deg
10.63 m 44.69 deg
3.55 m 62.69 deg
9.84 m 76.65 deg
9.7 m 83.4 deg
3.09 m 86.55 deg
3.09 m 89.39 deg
3.09 m 86.7 deg
3.1 m 81.74 deg
3.25 m 69.6 deg
3.71 m 51.6 deg
10.65 m 33.59 deg
8.69 m 15.6 deg
654.36 m -1.93 deg
14.85 m -19.93 deg
9.68 m -37.93 deg
4.65 m -55.93 deg
4.22 m -72.14 deg
11.48 m -81.59 deg
8.46 m -85.64 deg
4.0 m -89.83 deg
9.28 m -88.04 deg
9.16 m -84.44 deg
4.07 m -76.34 deg
4.3 m -60.59 deg
9.79 m -42.59 deg
9.14 m -25.04 deg
25.07 m -7.04 deg
25.64 m 10.95 deg
8.75 m 28.95 deg
10.72 m 46.94 deg
3.39 m 64.95 deg
3.12 m 78.0 deg
3.08 m 83.85 deg
9.73 m 89.39 deg
9.71 m 89.39 deg
9.7 m 86.24 deg
3.06 m 80.39 deg
3.3 m 67.35 deg
10.74 m 49.35 deg
8.58 m 31.35 deg
654.36 m 13.35 deg
654.36 m -4.63 deg
8.79 m -22.63 deg
9.6 m -40.63 deg
4.33 m -58.64 deg
4.06 m -73.94 deg
4.01 m -82.49 deg
3.75 m -86.09 deg
10.26 m -89.83 deg
3.78 m -87.58 deg
4.0 m -83.98 deg
4.06 m -74.53 deg
4.32 m -58.34 deg
9.45 m -40.33 deg
13.88 m -22.34 deg
24.59 m -4.34 deg
25.23 m 13.65 deg
8.13 m 31.64 deg
8.5 m 49.65 deg
3.21 m 67.65 deg
3.07 m 79.35 deg
3.01 m 84.3 deg
2.98 m 89.39 deg
2.99 m 88.95 deg
2.98 m 85.35 deg
3.05 m 78.6 deg
3.15 m 64.64 deg
10.55 m 46.65 deg
8.16 m 28.65 deg
654.36 m 10.65 deg
654.36 m -7.34 deg
13.9 m -25.33 deg
8.46 m -43.34 deg
10.54 m -61.34 deg
3.97 m -75.74 deg
3.8 m -82.94 deg
3.8 m -86.54 deg
3.84 m -89.83 deg
3.8 m -87.58 deg
3.8 m -83.09 deg
4.07 m -72.73 deg
10.17 m -55.64 deg
8.14 m -37.64 deg
13.74 m -19.64 deg
654.36 m -1.64 deg
654.36 m 16.34 deg
8.53 m 34.34 deg
10.56 m 52.35 deg
2.94 m 69.45 deg
2.93 m 80.7 deg
2.92 m 84.75 deg
2.93 m 89.39 deg
2.92 m 88.49 deg
2.92 m 84.89 deg
2.89 m 76.79 deg
10.73 m 61.95 deg
8.84 m 43.95 deg
7.08 m 25.95 deg
24.69 m 7.95 deg
24.04 m -10.04 deg
13.35 m -28.04 deg
8.17 m -46.04 deg
10.85 m -64.04 deg
3.98 m -77.09 deg
3.82 m -83.39 deg
3.79 m -86.99 deg
3.79 m -89.83 deg
3.81 m -87.13 deg
3.94 m -82.19 deg
4.14 m -70.48 deg
9.48 m -52.94 deg
7.63 m -34.94 deg
13.11 m -16.94 deg
23.93 m 1.04 deg
654.36 m 18.59 deg
7.56 m 36.59 deg
10.53 m 55.05 deg
10.36 m 71.25 deg
2.73 m 81.15 deg
2.73 m 85.2 deg
2.82 m 89.39 deg
2.76 m 88.05 deg
2.71 m 84.45 deg
2.74 m 74.99 deg
10.85 m 59.25 deg
10.06 m 41.25 deg
6.38 m 23.25 deg
24.33 m 5.25 deg
23.24 m -12.29 deg
12.88 m -30.29 deg
7.41 m -48.29 deg
9.44 m -66.29 deg
4.12 m -78.89 deg
4.07 m -84.29 deg
4.1 m -89.83 deg
4.04 m -89.83 deg
4.1 m -86.69 deg
4.12 m -81.28 deg
9.61 m -68.68 deg
7.52 m -50.69 deg
12.63 m -32.69 deg
22.82 m -14.69 deg
23.26 m 3.3 deg
5.84 m 21.3 deg
7.83 m 39.3 deg
6.6 m 57.3 deg
3.38 m 73.05 deg
2.69 m 82.05 deg
2.64 m 85.65 deg
2.64 m 89.39 deg
2.66 m 87.59 deg
2.91 m 83.55 deg
3.63 m 73.64 deg
6.49 m 57.0 deg
7.71 m 39.0 deg
24.07 m 21.0 deg
22.8 m 3.0 deg
22.61 m -14.98 deg
12.21 m -32.99 deg
7.14 m -50.98 deg
9.92 m -68.54 deg
11.54 m -79.79 deg
4.09 m -84.74 deg
4.04 m -89.83 deg
4.04 m -89.38 deg
4.4 m -85.79 deg
8.56 m -79.48 deg
8.64 m -65.98 deg
6.83 m -47.99 deg
12.03 m -29.99 deg
22.0 m -11.98 deg
22.35 m 6.0 deg
23.73 m 23.99 deg
6.89 m 41.99 deg
9.42 m 59.99 deg
6.73 m 74.85 deg
3.08 m 82.5 deg
3.42 m 86.1 deg
3.65 m 89.39 deg
3.43 m 87.14 deg
6.45 m 82.64 deg
9.7 m 71.39 deg
6.85 m 54.3 deg
6.2 m 36.3 deg
23.84 m 18.3 deg
22.12 m 0.75 deg
21.82 m -17.23 deg
11.77 m -35.68 deg
6.44 m -53.68 deg
7.94 m -70.34 deg
9.97 m -80.69 deg
7.69 m -85.19 deg
8.23 m -89.83 deg
8.34 m -88.94 deg
10.76 m -85.34 deg
10.48 m -77.68 deg
7.22 m -63.29 deg
12.02 m -45.29 deg
11.41 m -27.29 deg
21.8 m -9.74 deg
22.4 m 8.25 deg
4.57 m 26.24 deg
6.78 m 44.24 deg
5.04 m 62.24 deg
7.68 m 76.2 deg
4.61 m 82.95 deg
3.99 m 86.55 deg
4.63 m 89.39 deg
3.94 m 86.7 deg
4.66 m 81.74 deg
4.87 m 69.6 deg
6.34 m 52.05 deg
4.24 m 34.05 deg
654.36 m 16.04 deg
21.28 m -1.93 deg
654.36 m -19.93 deg
11.47 m -37.93 deg
6.32 m -55.93 deg
9.47 m -72.14 deg
9.35 m -81.59 deg
11.81 m -85.64 deg
12.06 m -89.83 deg
11.98 m -88.48 deg
11.69 m -84.88 deg
8.0 m -76.34 deg
7.29 m -61.04 deg
5.96 m -43.04 deg
11.21 m -25.04 deg
20.73 m -7.04 deg
20.96 m 10.95 deg
654.36 m 28.95 deg
